Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.94
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.96
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.98
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.99
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.01
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.03
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.04
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.06
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.08
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.09
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.11
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.13
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.14
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.16
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.18
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.19
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.21
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.23
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.24
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.26
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.28
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.29
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.31
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.33
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.35
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.36
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.38
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.40
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.41
