Car X: 710.00, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.30
Car X: 704.17, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.32
Car X: 698.27, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.33
Car X: 692.44, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.35
Car X: 686.61, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.37
Car X: 680.77, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.38
Car X: 674.94, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.40
Car X: 669.11, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.42
Car X: 663.27, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.43
Car X: 663.27, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.45
Car X: 657.44, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.47
Car X: 657.44, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.48
Car X: 651.60, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.50
Car X: 651.60, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.52
Car X: 645.77, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.53
Car X: 645.77, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.55
Car X: 639.94, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.57
Car X: 639.94, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.58
Car X: 639.94, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.60
Car X: 634.10, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.62
Car X: 628.16, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.63
Car X: 622.33, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.65
Car X: 622.33, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.67
Car X: 616.50, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.68
Car X: 610.66, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.70
Car X: 604.83, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.72
Car X: 604.83, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.73
Car X: 599.00, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.75
Car X: 599.00, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.77
Car X: 599.00, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.78
Car X: 593.16, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.80
Car X: 587.33, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.82
Car X: 587.33, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.83
Car X: 587.33, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.85
Car X: 587.33, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.87
Car X: 581.49, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.88
Car X: 575.66, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.90
Car X: 569.83, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.92
Car X: 563.99, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.93
Car X: 558.16, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.95
Car X: 552.33, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.97
Car X: 546.49, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 18.98
Car X: 546.49, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.00
Car X: 546.49, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.02
Car X: 540.66, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.03
Car X: 534.82, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.05
