Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.60, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.62, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.63, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.65, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.67, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.68, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.70, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.72, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.73, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.75, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.77, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.78, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.80, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.82, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.84, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.85, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.87, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.89, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.90, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.92, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.94, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.95, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.97, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.99, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.00, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.02, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.04, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.05, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.07, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.09, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.10, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.12, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.14, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.15, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.17, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.19, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.20, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.22, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.24, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.25, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.27, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 2.29, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
