Car X: 333.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.58
Car X: 325.57, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.59
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.61
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.63
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.65
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.66
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.68
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.70
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.71
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.73
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.75
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.76
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.78
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.80
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.81
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.83
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.85
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.86
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.88
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.90
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.91
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.93
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.95
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.97
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.98
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.00
