Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.81, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.83, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.84, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.86, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.88, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.89, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.91, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.93, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.94, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.96, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.98, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 80.83, Rotation: 0.00, Floor: 1, simTime : 6.99, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 86.67, Rotation: 0.00, Floor: 1, simTime : 7.01, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 92.50, Rotation: 0.00, Floor: 1, simTime : 7.03, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 98.34, Rotation: 0.00, Floor: 1, simTime : 7.04, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 104.17, Rotation: 0.00, Floor: 1, simTime : 7.06, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 110.01, Rotation: 0.00, Floor: 1, simTime : 7.08, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 115.84, Rotation: 0.00, Floor: 1, simTime : 7.09, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 121.67, Rotation: 0.00, Floor: 1, simTime : 7.11, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 127.51, Rotation: 0.00, Floor: 1, simTime : 7.13, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 133.34, Rotation: 0.00, Floor: 1, simTime : 7.14, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 140.06, Rotation: 0.00, Floor: 1, simTime : 7.16, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 146.51, Rotation: 0.00, Floor: 1, simTime : 7.18, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 152.34, Rotation: 0.00, Floor: 1, simTime : 7.20, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 158.17, Rotation: 0.00, Floor: 1, simTime : 7.21, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 164.01, Rotation: 0.00, Floor: 1, simTime : 7.23, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 169.84, Rotation: 0.00, Floor: 1, simTime : 7.25, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 175.67, Rotation: 0.00, Floor: 1, simTime : 7.26, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 181.64, Rotation: 0.00, Floor: 1, simTime : 7.28, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 187.48, Rotation: 0.00, Floor: 1, simTime : 7.30, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 193.32, Rotation: 0.00, Floor: 1, simTime : 7.31, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 199.15, Rotation: 0.00, Floor: 1, simTime : 7.33, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 204.98, Rotation: 0.00, Floor: 1, simTime : 7.35, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
